model,protocol,fold,well_id,n_points,sse,rmse,max_abs_error,bias,prefix_len,suffix_len,gr_missing_frac,anchor_tvt,has_typewell,predict_seconds,target_min,target_max,target_range,scored_exact_suffix,trajectory_curvature_deg_per_1000ft,alignment_confidence_mean,alignment_confidence_p10,typewell_gr_correlation,alignment_ok,alignment_failure_reason,alignment_cache_hit,fallback_points,fallback_fraction,dip_fit_r2,particle_confidence_mean,particle_confidence_p10,particle_branch_spread_mean,particle_branch_spread_p90,particle_path_smoothness,particle_fallback_status,particle_fallback_fraction,particle_failure_reason,particle_cache_hit,beam_confidence_mean,beam_confidence_p10,beam_branch_spread_mean,beam_branch_spread_p90,beam_path_smoothness,beam_fallback_status,beam_fallback_fraction,beam_failure_reason,beam_cache_hit
ridge_default,same_well_masked,0,tr00064,3011,2146.1845384498065,0.8442637707866176,1.1395517183267572,-0.8097610213098412,200,3011,0.6922152088969041,26.56536087717637,True,0.01538396400064812,24.001088568132268,26.6452865128063,2.6441979446740334,True,669.9348929324711,,,,,,,0,,,,,,,,,,,,,,,,,,,,
ridge_affine_cal,same_well_masked,0,tr00064,3011,2916.7901824031524,0.9842314017258301,1.321984523254958,-0.9335857860513264,200,3011,0.6922152088969041,26.56536087717637,True,0.02284480100024666,24.001088568132268,26.6452865128063,2.6441979446740334,True,669.9348929324711,,,,,,,0,,,,,,,,,,,,,,,,,,,,
ridge_multibranch,same_well_masked,0,tr00064,3011,2148.334335287882,0.8446865073377655,1.180700409962899,-0.7901205758381131,200,3011,0.6922152088969041,26.56536087717637,True,0.02391996599999402,24.001088568132268,26.6452865128063,2.6441979446740334,True,669.9348929324711,,,,,,,0,,,,,,,,,,,,,,,,,,,,
ridge_affine_multibranch,same_well_masked,0,tr00064,3011,3201.518308440258,1.0311518306186513,1.4196079407205424,-0.9571278010096971,200,3011,0.6922152088969041,26.56536087717637,True,0.03152581399990595,24.001088568132268,26.6452865128063,2.6441979446740334,True,669.9348929324711,,,,,,,0,,,,,,,,,,,,,,,,,,,,
ridge_gated_gbdt,same_well_masked,0,tr00064,3011,2146.1845384498065,0.8442637707866176,1.1395517183267572,-0.8097610213098412,200,3011,0.6922152088969041,26.56536087717637,True,0.10750893099975656,24.001088568132268,26.6452865128063,2.6441979446740334,True,669.9348929324711,0.8788006099515935,1.0,,True,,,3011,1.0,,,,,,,,,,,,,,,,,,,
ridge_default,same_well_masked,0,tr000c8,1353,4695.347060847262,1.8628803050462581,3.3799437875882887,1.5532329467944483,2314,1353,0.07191235059760956,32.70530764717869,True,0.014546545000484912,32.25034865702367,32.82425659174903,0.5739079347253551,True,682.7035459134614,,,,,,,0,,,,,,,,,,,,,,,,,,,,
ridge_affine_cal,same_well_masked,0,tr000c8,1353,5950.810025962537,2.0971965988556462,3.6444352848579626,1.8261584148346863,2314,1353,0.07191235059760956,32.70530764717869,True,0.02278017499975249,32.25034865702367,32.82425659174903,0.5739079347253551,True,682.7035459134614,,,,,,,0,,,,,,,,,,,,,,,,,,,,
ridge_multibranch,same_well_masked,0,tr000c8,1353,5625.412954667121,2.0390520228793134,3.5905023160684237,1.755300581522862,2314,1353,0.07191235059760956,32.70530764717869,True,0.025632791000134603,32.25034865702367,32.82425659174903,0.5739079347253551,True,682.7035459134614,,,,,,,0,,,,,,,,,,,,,,,,,,,,
ridge_affine_multibranch,same_well_masked,0,tr000c8,1353,6415.598221289122,2.177557746493073,3.7299239803712823,1.9142770033941618,2314,1353,0.07191235059760956,32.70530764717869,True,0.0301920779993452,32.25034865702367,32.82425659174903,0.5739079347253551,True,682.7035459134614,,,,,,,0,,,,,,,,,,,,,,,,,,,,
ridge_gated_gbdt,same_well_masked,0,tr000c8,1353,347.1084297727003,0.5065049361914717,1.0265630764690599,0.4154632266003485,2314,1353,0.07191235059760956,32.70530764717869,True,0.13952575699931913,32.25034865702367,32.82425659174903,0.5739079347253551,True,682.7035459134614,0.8251732997648594,0.9,,True,,,0,0.0,,,,,,,,,,,,,,,,,,,
ridge_default,same_well_masked,0,tr00000,2913,15208.303837200005,2.284915521788405,4.230352067532301,1.8281282094686806,1249,2913,0.06148409893992933,54.95115876206781,True,0.016283321000628348,54.95286530790393,60.15668237673304,5.20381706882911,True,667.4722502222261,,,,,,,0,,,,,,,,,,,,,,,,,,,,
