protocol,fold,n_wells,n_activated,activation_rate,fallback_rate,gate_killed,n_fallback_pseudo_holdout_not_improved,n_fallback_tail_risk,n_fallback_low_confidence,n_fallback_disagreement,n_fallback_below_margin,n_fallback_candidate_unavailable,n_applied_pf,n_applied_beam,n_applied_pf_beam_mean,n_oof_wells,n_examples,n_pseudo_skipped,killed,kill_reason,margin,conf_thr,sep_cap,pooled_oof_delta,oof_activation_rate,fit_seconds
same_well_masked,0,48,28,0.5833333333333334,0.4166666666666667,False,3,0,0,0,0,3,0,27,1,123,369,46,False,,0.0,0.0,0.6557154173902606,-0.7997527744574906,0.8617886178861789,35.49654598899997
same_well_masked,1,48,23,0.4791666666666667,0.5208333333333334,False,5,1,0,1,0,3,0,21,2,126,378,45,False,,0.0,0.0,0.5633613086451494,-0.8750343269012488,0.8888888888888888,17.28813179500048
same_well_masked,2,48,26,0.5416666666666666,0.4583333333333333,False,2,1,0,0,3,6,0,25,1,123,369,50,False,,0.0,0.0,0.6557154173902606,-0.8816761922819062,0.8780487804878049,17.513808964000418
same_well_masked,3,48,24,0.5,0.5,False,9,0,0,0,0,6,0,22,2,122,366,52,False,,0.0,0.0,0.6557154173902606,-0.945735988739044,0.9180327868852459,17.89760894599931
same_well_masked,4,48,30,0.625,0.375,False,0,0,0,0,2,7,0,29,1,122,366,51,False,,0.0,0.0,0.6557154173902606,-0.9046036430125448,0.8688524590163934,17.49603755299995
unseen_well,0,48,22,0.4583333333333333,0.5416666666666666,False,17,0,0,0,10,0,19,3,0,165,495,0,False,,0.0,0.0,0.7240900423194533,-1.061059452873057,0.6545454545454545,49.42862631099979
unseen_well,1,48,24,0.5,0.5,False,14,1,0,0,10,0,4,19,1,165,495,0,False,,0.0,0.0,0.7240900423194533,-1.0584453653247448,0.6666666666666666,19.479031693000252
unseen_well,2,48,18,0.375,0.625,False,17,0,0,0,7,6,3,15,0,171,513,0,False,,0.0,0.0,0.7240900423194533,-0.9302934029220506,0.6608187134502924,20.25906258699979
unseen_well,3,48,18,0.375,0.625,False,20,1,0,0,8,4,1,17,0,170,510,0,False,,0.0,0.0,0.7240900423194533,-1.006633198063363,0.6823529411764706,20.42733635700006
unseen_well,4,48,17,0.3541666666666667,0.6458333333333334,False,20,1,0,1,11,0,4,13,0,169,507,0,False,,0.0,0.0,0.685923458060112,-0.9961504910004704,0.6449704142011834,20.54493082800036
