protocol,well_id,fold,n_points,prefix_len,suffix_len,gr_missing_frac,rmse_default,rmse_candidate,sse_default,sse_candidate,delta_rmse,delta_sse,improved,degraded,unchanged,particle_confidence_mean,particle_confidence_p10,particle_branch_spread_mean,particle_branch_spread_p90,particle_path_smoothness,particle_fallback_status,particle_fallback_fraction,particle_failure_reason,particle_cache_hit,beam_confidence_mean,beam_confidence_p10,beam_branch_spread_mean,beam_branch_spread_p90,beam_path_smoothness,beam_fallback_status,beam_fallback_fraction,beam_failure_reason,beam_cache_hit,candidate_arm
same_well_masked,tr00006,2,2473,720,2473,0.014119308153900459,2.0272632796404992,0.8258271693751712,10163.526509512458,1686.5625403262077,-1.2014361102653281,-8476.96396918625,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr0004d,1,3050,200,3050,0.051601423487544484,3.8935982348426132,2.763050940026594,46238.32700382701,23285.07401640463,-1.1305472948160191,-22953.252987422384,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr00057,2,3071,200,3071,0.0518910741301059,4.038871002574692,3.1104731380449784,50095.62293357223,29712.057490615585,-0.9283978645297135,-20383.565442956646,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr0000b,4,3108,200,3108,0.07501402131239485,2.120993172960627,1.251848336728559,13981.686219529289,4870.622194392546,-0.869144836232068,-9111.064025136744,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr00040,0,2042,2055,2042,0.0,1.264806916673531,0.5213002294939107,3266.6620074619477,554.921523570165,-0.7435066871796202,-2711.740483891783,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr0008f,0,2173,200,2173,0.6849863129079806,1.9086580076372428,1.1717184915139192,7916.185522725912,2983.364337351837,-0.7369395161233236,-4932.821185374075,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr0005c,2,1836,200,1836,0.0,3.8311470742225207,3.1315942007068527,26948.234992338457,18005.435788785853,-0.699552873515668,-8942.799203552604,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr000d8,3,2541,200,2541,0.048122493620123954,1.0462102452277342,0.3933157361853892,2781.266484014688,393.0857588292099,-0.652894509042345,-2388.180725185478,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr000c2,2,3862,529,3862,0.0,2.9075248272527316,2.2789482337669895,32648.191798653548,20057.70271155655,-0.6285765934857421,-12590.489087096998,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr00035,1,2067,1169,2067,0.2187441071091835,0.8696795340056349,0.27467111703388375,1563.35993069169,155.9432079749699,-0.5950084169717511,-1407.41672271672,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr0000c,1,1925,200,1925,0.03639351960554121,1.026267268648519,0.47267273352456235,2027.457175396136,430.0825625588452,-0.5535945351239566,-1597.374612837291,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr0006a,2,2356,3858,2356,0.0,0.9372281946567749,0.39150584693847085,2069.5025989532114,361.1202072085941,-0.545722347718304,-1708.3823917446173,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr00027,4,2037,200,2037,0.12438739789964995,1.2469677036460227,0.7444489787316149,3167.3892606681106,1128.9141223006668,-0.5025187249144079,-2038.4751383674438,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr00081,0,2946,200,2946,0.05757530790918534,2.0860449494594078,1.634656401776972,12819.765082812395,7872.011171810309,-0.45138854768243575,-4947.753911002086,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr00000,0,2913,1249,2913,0.06148409893992933,2.284915521788405,1.8388784897558823,15208.303837200005,9850.234053553066,-0.4460370320325229,-5358.069783646939,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr00019,3,3877,960,3877,0.6727105806747762,2.5847805276188125,2.1456587340252185,25902.58738758679,17849.131889038268,-0.43912179359359405,-8053.455498548523,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr000b3,2,2181,200,2181,0.12054850593532541,2.4825204229851745,2.06884895506451,13441.301585824447,9334.976613538774,-0.41367146792066434,-4106.324972285673,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr00033,1,2766,3181,2766,0.023872374612647768,2.1349538200210496,1.7250828612860123,12607.50493247976,8231.369489385366,-0.4098709587350373,-4376.135443094394,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr000d6,0,2057,1782,2057,0.0,5.773519322084207,5.378991825400254,68567.0616706207,59516.31863973571,-0.3945274966839527,-9050.74303088498,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr0001c,3,2143,3635,2143,0.06867819719732357,1.3872529643087053,0.994392791268012,4124.1408965051905,2119.034880987164,-0.3928601730406932,-2005.1060155180267,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr00060,3,1532,2029,1532,0.0,1.1995376009207692,0.8075187359250142,2204.38017862686,998.9965315887373,-0.392018864995755,-1205.3836470381227,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr00009,1,2245,200,2245,0.02335907335907336,0.9034927642577529,0.5200598263123766,1832.5916480234293,607.187690509413,-0.38343293794537636,-1225.4039575140164,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
same_well_masked,tr0004a,3,3373,335,3373,0.5229487360542296,3.7021401718687126,3.335164020406165,46229.804567349514,37518.95513207885,-0.3669761514625476,-8710.849435270662,True,False,False,,,,,,,,,,,,,,,,,,,ridge_affine_cal
