protocol,fold,n_wells,n_points,rmse_default,rmse_candidate,delta_rmse,candidate_better,n_folds,n_folds_candidate_better,n_folds_candidate_not_worse,stable_across_folds,mean_fold_delta_rmse,candidate_arm
same_well_masked,0,48,109757,2.084650601275201,2.2055546806881443,0.12090407941294323,False,5,2,2,False,0.01929855619494982,ridge_affine_cal
same_well_masked,1,48,112536,2.3791921800293796,2.3597722924611597,-0.019419887568219885,True,5,2,2,False,0.01929855619494982,ridge_affine_cal
same_well_masked,2,48,117471,2.3556460732594595,2.389558334142477,0.03391226088301735,False,5,2,2,False,0.01929855619494982,ridge_affine_cal
same_well_masked,3,48,117547,2.3905705521555847,2.33178970322629,-0.05878084892929447,True,5,2,2,False,0.01929855619494982,ridge_affine_cal
same_well_masked,4,48,124500,1.9844324265224331,2.004309603698736,0.019877177176302885,False,5,2,2,False,0.01929855619494982,ridge_affine_cal
unseen_well,0,48,114439,2.5163046987918993,2.4961619538503728,-0.02014274494152657,True,5,3,3,False,0.01974289455893228,ridge_affine_cal
unseen_well,1,48,117832,2.025641026623611,2.0592726910716643,0.03363166444805321,False,5,3,3,False,0.01974289455893228,ridge_affine_cal
unseen_well,2,48,121162,2.4588724925055074,2.5459141322328405,0.08704163972733303,False,5,3,3,False,0.01974289455893228,ridge_affine_cal
unseen_well,3,48,120342,1.956182326762811,1.9547379321480982,-0.0014443946147126852,True,5,3,3,False,0.01974289455893228,ridge_affine_cal
unseen_well,4,48,129417,2.2076952598652846,2.207323568040799,-0.00037169182448559823,True,5,3,3,False,0.01974289455893228,ridge_affine_cal
same_well_masked,0,48,109757,2.084650601275201,2.0258585609623054,-0.058792040312895644,True,5,3,3,False,-0.0098320964006676,ridge_multibranch
same_well_masked,1,48,112536,2.3791921800293796,2.3141794349625204,-0.06501274506685917,True,5,3,3,False,-0.0098320964006676,ridge_multibranch
same_well_masked,2,48,117471,2.3556460732594595,2.4685097762313797,0.11286370297192017,False,5,3,3,False,-0.0098320964006676,ridge_multibranch
same_well_masked,3,48,117547,2.3905705521555847,2.333990888261468,-0.05657966389411673,True,5,3,3,False,-0.0098320964006676,ridge_multibranch
same_well_masked,4,48,124500,1.9844324265224331,2.0027926908210465,0.01836026429861337,False,5,3,3,False,-0.0098320964006676,ridge_multibranch
unseen_well,0,48,114439,2.5163046987918993,2.509035234119226,-0.007269464672673198,True,5,1,1,False,0.03981918377350828,ridge_multibranch
unseen_well,1,48,117832,2.025641026623611,2.121724338789111,0.09608331216549981,False,5,1,1,False,0.03981918377350828,ridge_multibranch
unseen_well,2,48,121162,2.4588724925055074,2.4776995790901415,0.018827086584634056,False,5,1,1,False,0.03981918377350828,ridge_multibranch
unseen_well,3,48,120342,1.956182326762811,1.9634698765223193,0.007287549759508405,False,5,1,1,False,0.03981918377350828,ridge_multibranch
unseen_well,4,48,129417,2.2076952598652846,2.291862694895857,0.08416743503057234,False,5,1,1,False,0.03981918377350828,ridge_multibranch
same_well_masked,0,48,109757,2.084650601275201,2.1506855582741284,0.06603495699892736,False,5,2,2,False,0.004461308945628994,ridge_affine_multibranch
same_well_masked,1,48,112536,2.3791921800293796,2.2848802347889903,-0.09431194524038933,True,5,2,2,False,0.004461308945628994,ridge_affine_multibranch
same_well_masked,2,48,117471,2.3556460732594595,2.483185411174864,0.12753933791540462,False,5,2,2,False,0.004461308945628994,ridge_affine_multibranch
same_well_masked,3,48,117547,2.3905705521555847,2.2751987285777946,-0.11537182357779008,True,5,2,2,False,0.004461308945628994,ridge_affine_multibranch
same_well_masked,4,48,124500,1.9844324265224331,2.0228484451544255,0.0384160186319924,False,5,2,2,False,0.004461308945628994,ridge_affine_multibranch
unseen_well,0,48,114439,2.5163046987918993,2.4570763874827355,-0.05922831130916384,True,5,2,2,False,0.05123029310237857,ridge_affine_multibranch
unseen_well,1,48,117832,2.025641026623611,2.16724806925346,0.14160704262984902,False,5,2,2,False,0.05123029310237857,ridge_affine_multibranch
unseen_well,2,48,121162,2.4588724925055074,2.5628123546347226,0.10393986212921513,False,5,2,2,False,0.05123029310237857,ridge_affine_multibranch
unseen_well,3,48,120342,1.956182326762811,1.953323085886555,-0.0028592408762559973,True,5,2,2,False,0.05123029310237857,ridge_affine_multibranch
unseen_well,4,48,129417,2.2076952598652846,2.280387372803533,0.07269211293824851,False,5,2,2,False,0.05123029310237857,ridge_affine_multibranch
same_well_masked,0,48,109757,2.084650601275201,3.2881305456446466,1.2034799443694455,False,5,0,0,False,0.6420141487620024,ridge_gated_gbdt
same_well_masked,1,48,112536,2.3791921800293796,2.8152878656599385,0.4360956856305589,False,5,0,0,False,0.6420141487620024,ridge_gated_gbdt
same_well_masked,2,48,117471,2.3556460732594595,2.35717185017279,0.0015257769133305565,False,5,0,0,False,0.6420141487620024,ridge_gated_gbdt
same_well_masked,3,48,117547,2.3905705521555847,3.4670695561841494,1.0764990040285647,False,5,0,0,False,0.6420141487620024,ridge_gated_gbdt
same_well_masked,4,48,124500,1.9844324265224331,2.476902759390545,0.4924703328681119,False,5,0,0,False,0.6420141487620024,ridge_gated_gbdt
unseen_well,0,48,114439,2.5163046987918993,3.099163771980482,0.5828590731885828,False,5,1,1,False,0.49391014531289024,ridge_gated_gbdt
unseen_well,1,48,117832,2.025641026623611,3.074766372569011,1.0491253459454,False,5,1,1,False,0.49391014531289024,ridge_gated_gbdt
unseen_well,2,48,121162,2.4588724925055074,2.765951567997495,0.30707907549198765,False,5,1,1,False,0.49391014531289024,ridge_gated_gbdt
unseen_well,3,48,120342,1.956182326762811,1.537633020272292,-0.4185493064905188,True,5,1,1,False,0.49391014531289024,ridge_gated_gbdt
unseen_well,4,48,129417,2.2076952598652846,3.156731798294284,0.9490365384289996,False,5,1,1,False,0.49391014531289024,ridge_gated_gbdt
