protocol,fold,well_id,outcome,candidate,reason,confidence,disagreement,predicted_improvement,pseudo_delta,n_eligible,gate_killed
same_well_masked,0,tr00064,fallback,,pf:pseudo_holdout_unavailable;beam:pseudo_holdout_unavailable;pf_beam_mean:pseudo_holdout_unavailable,0.0007468963189594043,0.09278576130898258,0.38702446272337393,,0,False
same_well_masked,0,tr000c8,applied_beam,beam,all_rules_passed,2.1889224645679883e-05,0.17146875971630113,0.9138732508527047,0.9305486011205898,3,False
same_well_masked,0,tr00000,applied_beam,beam,all_rules_passed,1.3697328898844255e-05,0.09494826794765837,0.8329306635458836,0.325752295157827,2,False
same_well_masked,0,tr000c1,applied_beam,beam,all_rules_passed,1.6240317265653325e-05,0.10773469842548378,0.8896885444472016,1.2106797721382778,3,False
same_well_masked,0,tr000d6,applied_beam,beam,all_rules_passed,2.0519531445469962e-05,0.07757403555006266,0.07995555945345056,1.209507490010406,2,False
same_well_masked,0,tr000e6,applied_beam,beam,all_rules_passed,1.6509431654714008e-05,0.16775704345883327,0.44435748796495617,0.5753586293237608,3,False
same_well_masked,0,tr00036,applied_beam,beam,all_rules_passed,7.634075394566768e-06,0.19667481153788174,0.27051072114236213,0.6593969892929941,3,False
same_well_masked,0,tr00074,fallback,,pf:pseudo_holdout_unavailable;beam:pseudo_holdout_unavailable;pf_beam_mean:pseudo_holdout_unavailable,0.09151846420991,0.2910925191980971,0.02331750714278649,,0,False
same_well_masked,0,tr000e1,applied_beam,beam,all_rules_passed,1.3339466626283842e-05,0.3000326956635371,0.0023386927454991757,0.34932984929095456,1,False
same_well_masked,0,tr0009a,applied_beam,beam,all_rules_passed,1.8161265245380152e-05,0.29527239569500324,0.6137685409932679,0.7822106081489841,3,False
same_well_masked,0,tr00081,fallback,,pf:pseudo_holdout_unavailable;beam:pseudo_holdout_unavailable;pf_beam_mean:pseudo_holdout_unavailable,0.006850027561054345,0.09645655885509474,0.18882731062716138,,0,False
same_well_masked,0,tr000d0,applied_beam,beam,all_rules_passed,2.1936082025691738e-05,0.3498416867741915,0.2827484719152916,0.9570967994606108,3,False
same_well_masked,0,tr0008d,applied_beam,beam,all_rules_passed,1.0069282187245404e-05,0.16510501015965098,0.8132103440917415,0.3929389113802296,3,False
same_well_masked,0,tr00046,applied_beam,beam,all_rules_passed,1.4267435449682784e-05,0.03569778978949051,0.40768216552065817,0.5469157459299481,3,False
same_well_masked,0,tr0005d,fallback,,pf:pseudo_holdout_unavailable;beam:pseudo_holdout_unavailable;pf_beam_mean:pseudo_holdout_unavailable,0.00994771885964312,0.03798967020526247,0.4877200552542032,,0,False
same_well_masked,0,tr00023,applied_beam,beam,all_rules_passed,9.583446414960909e-06,0.5219314966208362,1.1829202793945839,0.9914012270058499,3,False
same_well_masked,0,tr0008c,applied_beam,beam,all_rules_passed,2.2316974707967876e-05,0.14763909992396862,1.0357856575173112,1.2436728296596875,3,False
same_well_masked,0,tr00050,applied_beam,beam,all_rules_passed,9.310650811856542e-06,0.07516694978628592,1.0377983579562804,1.7151884917603963,3,False
same_well_masked,0,tr000c0,applied_beam,beam,all_rules_passed,2.184229568074781e-05,0.5160080544143064,0.6832843670427778,0.9475158857900454,3,False
same_well_masked,0,tr000ee,fallback,,pf:candidate_unavailable:partial_missing_or_invalid_horizontal_gr;beam:candidate_unavailable:partial_missing_or_invalid_horizontal_gr;pf_beam_mean:candidate_unavailable:no_pf_or_beam_track,0.0,,-0.3636666549216034,,0,False
