validation,branch,protocol,fold,well_id,n_points,sse,rmse,max_abs_error,bias,prefix_len,suffix_len,gr_missing_frac,anchor_tvt,has_typewell,predict_seconds,target_min,target_max,target_range,scored_exact_suffix,trajectory_curvature_deg_per_1000ft,alignment_confidence_mean,alignment_confidence_p10,typewell_gr_correlation,alignment_ok,alignment_failure_reason,alignment_cache_hit,fallback_points,fallback_fraction,dip_fit_r2
SYNTHETIC — NOT A COMPETITION RESULT,ridge_no_align,same_well_masked,0,tr0000b,3148,3974.2864378454105,1.1236012676738862,2.2051010973762404,0.9847277463644424,1520,3148,0.6443193449334698,4.412948859198263,True,0.010025803999724303,-7.020118865839404,4.48841392725116,11.508532793090563,True,680.9943364673279,0.0,0.0,0.42974185885530397,True,,,0,,
SYNTHETIC — NOT A COMPETITION RESULT,ridge_baseline,same_well_masked,0,tr0000b,3148,197.66689806517735,0.2505818502608892,0.5781293442330622,-0.020329008013945073,1520,3148,0.6443193449334698,4.412948859198263,True,0.006529337999836571,-7.020118865839404,4.48841392725116,11.508532793090563,True,680.9943364673279,0.0,0.0,0.42974185885530397,True,,,0,,
SYNTHETIC — NOT A COMPETITION RESULT,ridge_spatial_only,same_well_masked,0,tr0000b,3148,6141.837724925277,1.396792218692493,2.715086646716772,1.0879541849749395,1520,3148,0.6443193449334698,4.412948859198263,True,0.01694070700023076,-7.020118865839404,4.48841392725116,11.508532793090563,True,680.9943364673279,0.0,0.0,0.42974185885530397,True,,,0,,
SYNTHETIC — NOT A COMPETITION RESULT,ridge_align_spatial,same_well_masked,0,tr0000b,3148,1388.9079572718285,0.6642313528521238,1.391867219897673,0.3030809483950014,1520,3148,0.6443193449334698,4.412948859198263,True,0.017235236000033183,-7.020118865839404,4.48841392725116,11.508532793090563,True,680.9943364673279,0.0,0.0,0.42974185885530397,True,,,0,,
SYNTHETIC — NOT A COMPETITION RESULT,ridge_no_align,same_well_masked,0,tr00002,2369,2119.604210766253,0.9458991962545431,2.1353865489529773,-0.6134987562602838,2230,2369,0.09156142365097589,-2.157987116704972,True,0.009224316999734583,-5.357208194500955,0.6008594404873753,5.95806763498833,True,679.7470130513913,0.6744202514119219,0.0,0.8451783045472179,True,,,0,,
SYNTHETIC — NOT A COMPETITION RESULT,ridge_baseline,same_well_masked,0,tr00002,2369,1341.1369145609888,0.752409079970596,2.062886364065968,-0.49243447392448025,2230,2369,0.09156142365097589,-2.157987116704972,True,0.006174659999942378,-5.357208194500955,0.6008594404873753,5.95806763498833,True,679.7470130513913,0.6744202514119219,0.0,0.8451783045472179,True,,,0,,
SYNTHETIC — NOT A COMPETITION RESULT,ridge_spatial_only,same_well_masked,0,tr00002,2369,1668.3595247268179,0.8391938494150692,1.9170623926219674,-0.3640780586617619,2230,2369,0.09156142365097589,-2.157987116704972,True,0.014368484999977227,-5.357208194500955,0.6008594404873753,5.95806763498833,True,679.7470130513913,0.6744202514119219,0.0,0.8451783045472179,True,,,0,,
SYNTHETIC — NOT A COMPETITION RESULT,ridge_align_spatial,same_well_masked,0,tr00002,2369,1086.713026677069,0.6772903785926525,1.4985419500024753,-0.3171342401071834,2230,2369,0.09156142365097589,-2.157987116704972,True,0.014360576999933983,-5.357208194500955,0.6008594404873753,5.95806763498833,True,679.7470130513913,0.6744202514119219,0.0,0.8451783045472179,True,,,0,,
SYNTHETIC — NOT A COMPETITION RESULT,ridge_no_align,same_well_masked,0,tr0000a,2614,5669.720932614954,1.4727466717753286,2.7230378391224406,-0.6591741624784411,1799,2614,0.05464636402447702,46.51292439477711,True,0.009205388999816932,46.486988472018176,50.09729139734202,3.6103029253238432,True,667.9438138892924,0.9655097164124004,0.9447088453204131,0.965764031181691,True,,,0,,
SYNTHETIC — NOT A COMPETITION RESULT,ridge_baseline,same_well_masked,0,tr0000a,2614,5367.752028284629,1.4329908942278025,2.683878307942507,-0.41222739368653505,1799,2614,0.05464636402447702,46.51292439477711,True,0.006309779000275739,46.486988472018176,50.09729139734202,3.6103029253238432,True,667.9438138892924,0.9655097164124004,0.9447088453204131,0.965764031181691,True,,,0,,
