protocol,fold,well_id,model,n_points,sse,rmse,predict_seconds,gr_missing_fraction,fallback_fraction,pf_confidence_mean,data_source,validation_scope,metric_definition,target_definition
same_well_masked,0,tr00254,ridge_default,3631,20093.64732897957,2.3524275846223612,0.017740488052368164,0.057868830650525505,0.0,0.10638568174181222,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr00254,ridge_gr_quality,3631,11000.636746224973,1.7405872083469167,0.016992568969726562,0.057868830650525505,0.0,0.10638568174181222,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr00254,ridge_imputed_gr,3631,21476.45213217005,2.432025614691954,0.016570329666137695,0.057868830650525505,0.0,0.10638568174181222,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr00254,gated_pf_beam,3631,20093.64732897957,2.3524275846223612,0.015687227249145508,0.057868830650525505,0.0,0.10638568174181222,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr00077,ridge_default,1941,328.16706276890136,0.41118259898848214,0.014561176300048828,0.05760626398210289,0.18238021638330756,0.0033685505353680182,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr00077,ridge_gr_quality,1941,1343.7665615447931,0.8320494679570817,0.016358613967895508,0.05760626398210289,0.18238021638330756,0.0033685505353680182,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr00077,ridge_imputed_gr,1941,375.85445325699845,0.4400449916443802,0.01601266860961914,0.05760626398210289,0.18238021638330756,0.0033685505353680182,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr00077,gated_pf_beam,1941,328.16706276890136,0.41118259898848214,0.014712095260620117,0.05760626398210289,0.18238021638330756,0.0033685505353680182,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr0025f,ridge_default,4221,144448.84216272034,5.849912315311249,0.016353845596313477,0.049180327868852514,0.0,0.027001518130237268,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr0025f,ridge_gr_quality,4221,108511.00116161084,5.070248078706628,0.017200231552124023,0.049180327868852514,0.0,0.027001518130237268,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr0025f,ridge_imputed_gr,4221,127110.5900152162,5.48760939841306,0.017354249954223633,0.049180327868852514,0.0,0.027001518130237268,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr0025f,gated_pf_beam,4221,144448.84216272034,5.849912315311249,0.01637887954711914,0.049180327868852514,0.0,0.027001518130237268,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr00036,ridge_default,1863,15227.558002436297,2.858964111884144,0.014746427536010742,0.0,0.0,0.06414573117653553,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr00036,ridge_gr_quality,1863,25580.717429028504,3.7055265792802357,0.016559362411499023,0.0,0.0,0.06414573117653553,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr00036,ridge_imputed_gr,1863,13864.721687408823,2.728030054885577,0.017189741134643555,0.0,0.0,0.06414573117653553,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr00036,gated_pf_beam,1863,15227.558002436297,2.858964111884144,0.015328168869018555,0.0,0.0,0.06414573117653553,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr002cd,ridge_default,3230,5010.720670159501,1.245514636215773,0.015093326568603516,0.5598207617625093,0.708359133126935,0.0006759795860203302,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr002cd,ridge_gr_quality,3230,8571.446752873191,1.6290177055821276,0.01654362678527832,0.5598207617625093,0.708359133126935,0.0006759795860203302,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr002cd,ridge_imputed_gr,3230,7247.22656782662,1.4979063373962862,0.016056537628173828,0.5598207617625093,0.708359133126935,0.0006759795860203302,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr002cd,gated_pf_beam,3230,5010.720670159501,1.245514636215773,0.015537023544311523,0.5598207617625093,0.708359133126935,0.0006759795860203302,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr002d1,ridge_default,1953,4188.191549842298,1.4644081811311347,0.013922691345214844,0.0,0.0,0.0909906454582312,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr002d1,ridge_gr_quality,1953,15336.620479874216,2.802294108090863,0.015074491500854492,0.0,0.0,0.0909906454582312,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr002d1,ridge_imputed_gr,1953,4278.52195357662,1.480116025118264,0.014851570129394531,0.0,0.0,0.0909906454582312,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr002d1,gated_pf_beam,1953,4188.191549842298,1.4644081811311347,0.014299392700195312,0.0,0.0,0.0909906454582312,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr000e6,ridge_default,3895,7655.637800147774,1.4019643105838695,0.015974998474121094,0.14774552192711554,0.1884467265725289,0.004294969780680558,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr000e6,ridge_gr_quality,3895,18431.698547558473,2.1753490297353064,0.017694950103759766,0.14774552192711554,0.1884467265725289,0.004294969780680558,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr000e6,ridge_imputed_gr,3895,10167.193563498548,1.6156482512472483,0.01841568946838379,0.14774552192711554,0.1884467265725289,0.004294969780680558,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
same_well_masked,0,tr000e6,gated_pf_beam,3895,7655.637800147774,1.4019643105838695,0.017542600631713867,0.14774552192711554,0.1884467265725289,0.004294969780680558,synthetic,SYNTHETIC,Absolute hidden-suffix TVT RMSE,TVT hidden suffix
