well_id,valid_gr_fraction,missing_fraction,longest_contiguous_missing_gap,prefix_gr_quality,hidden_region_gr_quality,number_of_valid_gr_segments,signal_variance,signal_stability
tr00000,0.36908077994428967,0.6309192200557103,3050,0.25555752806817394,0.09261569637710378,3,18.032178757189033,3.5046061010259564
tr00001,0.9757309603605686,0.02426903963943139,210,0.9344705147686168,0.9595019566223937,2,183.38396095510848,5.653825308023965
tr00002,0.9529278550630864,0.047072144936913585,291,0.537394395508307,0.4943278829383375,2,39.159946438253115,5.689879403934177
tr00003,0.32319499715747585,0.6768050028425241,2381,0.5036316688683478,0.41083027588989435,2,22.732648425176233,3.1350646351968536
tr00004,0.31017091622303167,0.6898290837769683,4924,-0.022320301298606477,0.09070858439451648,2,85.52548448199238,3.2291864495600087
tr00005,1.0,0.0,0,0.2874469724131764,0.7738017566193324,1,32.03613391315566,5.803280628663109
tr00006,0.9680662329982259,0.03193376700177408,216,0.8647941403704467,0.4187828742828512,2,124.594059639161,5.579918952685305
tr00007,0.9107313575525813,0.08926864244741872,588,0.8366319729476652,0.9295295170865067,3,102.8964190865019,5.359480779942451
tr00008,0.8665785997357992,0.1334214002642008,419,0.5046208260777144,0.9438179182116871,3,147.19703415435134,5.389961327975371
tr00009,0.9297736506094022,0.0702263493905978,363,0.2369958134728889,0.7873380560245046,2,50.8830181946183,5.518230871474213
tr0000a,0.8871168701719412,0.11288312982805881,453,0.22806265110273954,0.30040840287790105,2,19.35448756658392,5.432341081922483
tr0000b,0.9094091903719912,0.0905908096280088,621,0.9066138655405318,0.24901263608019958,2,132.8328348013401,5.376569216743995
tr0000c,0.8490267447380915,0.15097325526190852,528,0.9667482708714621,0.9582379799196442,3,361.5877457556912,5.319604868898319
tr0000d,0.41070094156329395,0.589299058436706,3943,0.32665144643250443,0.9446639281494437,2,568.1168667597881,3.7071907764822862
tr0000e,1.0,0.0,0,0.368149026148324,0.5898829477261126,1,37.0274308892594,5.595044698750802
tr0000f,0.46334150994821477,0.5366584900517852,3938,0.22740231753541726,0.3953375669679099,2,176.39158008747842,3.8594987555457476
tr00010,0.36714255273812063,0.6328574472618793,2970,0.43571737329286997,0.5695454416410961,2,42.201798667219386,3.4283353304946367
tr00011,0.8728184553660983,0.12718154463390174,634,0.9834652696058942,0.8767254732512257,2,363.4587538639658,5.344252806557099
tr00012,0.9234125060591372,0.07658749394086284,373,0.9665322924129822,0.8769067829306726,3,224.90922367573674,5.442868076826612
tr00013,0.8805687203791469,0.11943127962085309,504,0.7242536233799791,0.9416494972938756,2,229.54043518778175,5.1436577433716355
tr00014,0.8605640460059871,0.13943595399401287,481,0.7993003145294777,0.647717715369122,2,110.48085835536388,5.3012306412952634
tr00015,0.4512442864398172,0.5487557135601828,4322,0.8358845131400449,0.454658882516039,2,44.97060676784503,3.7084459004126926
tr00016,0.33161099833917695,0.668389001660823,3622,0.47453078159369416,0.8811349934809987,2,359.3009717234391,3.3270650793177845
tr00017,1.0,0.0,0,0.9838290322145036,0.1667505994507172,1,401.57305237686563,5.700863100645232
tr00018,0.8227383863080685,0.1772616136919315,629,0.758554678560373,0.5322712594123925,3,35.46653372561171,5.193753761226109
tr00019,1.0,0.0,0,0.9800070332308669,0.5511732165719826,1,296.7432382612211,5.578387495362505
tr0001a,1.0,0.0,0,0.43789872754134734,0.9588862343428705,1,333.5804912479422,5.623114728984048
tr0001b,1.0,0.0,0,0.8557231057977749,0.34097477441390717,1,136.95399322135614,5.79571541652245
tr0001c,0.8940646130728775,0.10593538692712245,427,0.736222896500384,0.9837195783760668,3,660.1144721544207,5.449239700692951
tr0001d,0.9343185550082101,0.06568144499178985,324,0.9388587190898818,0.7158921574345851,3,119.82118803042235,5.530028439257508
tr0001e,0.9188644120384735,0.08113558796152653,523,0.10442265372640619,0.37897288681808244,2,19.835078741850175,5.441785054345063
tr0001f,0.8054164770141101,0.19458352298588988,505,0.8877332264227102,0.8496893717792184,3,203.32170906170484,5.192972767162065
tr00020,0.8020867297032931,0.1979132702967069,664,0.8968042196410653,0.8716640321896522,3,572.9998372755923,5.062606542297375
tr00021,0.9010912870258098,0.09890871297419024,446,0.33305606757141504,0.9787765305423038,3,318.466440724018,5.387535987907652
tr00022,0.9817535927660261,0.01824640723397386,113,0.2000717881393707,0.5528376428446055,2,21.947022806406867,5.613573103805281
tr00023,0.9423469387755102,0.057653061224489766,452,0.16475690893176473,-0.05425394897307991,2,17.563143880276698,5.5315556741423295
tr00024,0.8092095615192844,0.19079043848071564,656,0.9747481073842011,-0.09174042454721919,3,332.584665966973,4.9864702517545645
tr00025,1.0,0.0,0,0.950391010952168,0.9092327267384076,1,188.4185857979734,5.603830225202647
tr00026,0.8901098901098901,0.10989010989010994,660,0.3991629931152387,0.9127914693384434,2,76.34445246098898,5.214412087288107
tr00027,0.9780784166353501,0.021921583364649888,175,0.8663406679943878,-0.008663094298945625,2,103.15918507030189,5.543906809290709
tr00028,0.8152150879423606,0.18478491205763936,470,0.717006331857858,0.5463155631301224,3,41.37549508863257,5.053876651074437
tr00029,0.4805460750853242,0.5194539249146758,4566,0.936744854797786,0.10532681988436099,2,148.15911614187507,3.871689559319262
tr0002a,0.3857313989085585,0.6142686010914415,4615,0.9174149789172186,0.611487159956237,2,731.3868363711199,3.482370836612525
tr0002b,0.8978486535279073,0.10215134647209267,476,0.7177453575683894,0.8003530648003268,3,41.52740738543586,5.433571857128753
tr0002c,1.0,0.0,0,0.9806390938452048,0.8817117424376462,1,705.9819708177946,5.727309231384575
tr0002d,0.9759471781166483,0.02405282188335167,153,0.6315789325736593,0.29016906173985196,2,45.538806549664336,5.549581741407933
tr0002e,0.8972212326327039,0.10277876736729608,577,0.7233759652381165,0.9132267865067274,2,363.43009284549373,5.42733439789212
tr0002f,0.8414399560318769,0.15856004396812307,577,0.31704495180620573,0.42933288660666163,2,20.553074644049488,5.210310843202883
tr00030,0.37077084059993026,0.6292291594000697,5412,0.8330609991547505,0.25440040794090396,2,46.65578224729763,3.4702066556523845
tr00031,1.0,0.0,0,0.7090434122490208,0.5060264495337397,1,59.23742453466874,5.493238634055202
tr00032,0.9252821670428893,0.07471783295711065,223,0.3019378586897675,0.18315922405442595,3,18.271650762832962,5.460602134748066
tr00033,1.0,0.0,0,0.9424032991168952,0.9134406061374164,1,331.22550966506265,5.672918086138004
tr00034,0.9338002711251695,0.0661997288748305,293,0.2547152130681862,0.6992729133965659,2,23.91575672116336,5.444220944054719
tr00035,0.80414653784219,0.19585346215780997,514,0.9901787037286807,0.9850482332894578,3,818.69615778623,5.25861361151836
tr00036,1.0,0.0,0,0.9430440198929279,0.8527909936688765,1,277.11206963653035,5.797995222551928
tr00037,0.9262198706643151,0.0737801293356849,502,0.970264756892086,0.9788164552978225,2,375.57675975519453,5.4517517420815835
tr00038,0.9233639048655371,0.0766360951344629,493,0.24519450983316576,0.9168633335804964,2,93.00275656473082,5.5343802060452765
tr00039,1.0,0.0,0,0.8381267117975754,0.9948536076990079,1,556.6716784526463,5.631352631169388
tr0003a,1.0,0.0,0,0.7955735303736532,0.7895729919161841,1,47.2088771651605,5.6810726880065925
tr0003b,1.0,0.0,0,0.982519398607887,0.766591325435715,1,395.3062847835296,5.75556539668955
tr0003c,0.9337513061650993,0.06624869383490073,317,0.9542342397112775,0.08868080849323935,2,272.5063717078045,5.4641955940738525
tr0003d,0.983611442193087,0.01638855780691295,110,0.967073096310319,0.7860709127844936,2,255.3659171299096,5.565960548192219
tr0003e,0.9112185686653772,0.0887814313346228,327,0.687273223772817,0.511736946375359,3,27.455863812683578,5.43022458196834
tr0003f,0.9771454690892469,0.022854530910753068,200,0.7559745683779148,0.7890741567305717,2,177.91243685532353,5.601750880137031
tr00040,0.9821503277088273,0.017849672291172736,128,0.27567848927355953,0.8963643750165426,2,83.35477799829559,5.554700397765293
